State,District,Market Name,Arrival(QTL),Variety,MODAL Price (RS/QTL),MIN Price (RS/QTL),MAX Price (RS/QTL),CropName
Uttar Pradesh,Lakhimpur,Lakhimpur,50000,Dara,1725,1715,1975,Wheat
Uttar Pradesh,Sitapur,Sitapur,11465,Dara,1705,1690,1975,Wheat
Madhya Pradesh,Gwalior,Dabra,10225,Other,1780,1720,1845,Wheat
Gujarat,Banaskanth,Deesa,9760,Other,1950,1680,2340,Wheat
Uttar Pradesh,Lakhimpur,Golagokarnath,8500,Dara,1720,1620,1975,Wheat
Madhya Pradesh,Vidisha,Vidisha,8420,Lokwan,1840,1600,3110,Wheat
Uttar Pradesh,Sitapur,Mehmoodabad,7800,Dara,1720,1660,1975,Wheat
Uttar Pradesh,Agra,Agra,6210,Dara,1800,1750,1820,Wheat
Uttar Pradesh,Lakhimpur,Paliakala,4800,Dara,1715,1700,1975,Wheat
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj,4500,Dara,1670,1600,1720,Wheat
Uttar Pradesh,Bulandshahar,Buland Shahr,3200,Dara,1920,1900,1975,Wheat
Gujarat,Dahod,Dahod,3092,147 Average,1900,1875,2000,Wheat
Gujarat,Dahod,Dahod,3092,Lokwan,1900,1875,2000,Wheat
Rajasthan,Dausa,Lalsot,2513,Other,1744,1500,1850,Wheat
Gujarat,Rajkot,Dhoraji,1906,Lokwan,1640,1450,1705,Wheat
Gujarat,Sabarkantha,Modasa,1811,Lokwan Gujrat,1888,1650,2125,Wheat
Maharashtra,Jalana,Jalana,1560,147 Average,1800,1650,2215,Wheat
Rajasthan,Chittorgarh,Begu,1450,Other,1840,1630,1860,Wheat
Madhya Pradesh,Sagar,Bina,1440,MP(Desi),1900,1800,2000,Wheat
Gujarat,Banaskanth,Palanpur,1400,Other,1875,1675,2075,Wheat
Uttar Pradesh,Saharanpur,Gangoh,1150,Dara,1950,1920,1976,Wheat
Chattisgarh,Kabirdham,Pipriya,1000,Deshi,1500,1500,1500,Wheat
Gujarat,Banaskanth,Thara,890,Other,1782.5,1560,2005,Wheat
Maharashtra,Dhule,Dhule,770,Other,1785,1760,1870,Wheat
Uttar Pradesh,Muradabad,Bhehjoi,650,Dara,1920,1840,1975,Wheat
Rajasthan,Hanumangarh,Suratgarh,610,Other,1910,1885,1921,Wheat
Rajasthan,Alwar,Kherli,554,Other,1826,1731,1870,Wheat
Maharashtra,Akola,Akola,490,Other,1725,1600,1850,Wheat
Madhya Pradesh,Bhind,Lahar,485,Other,1720,1710,1725,Wheat
Maharashtra,Nashik,Lasalgaon(Vinchur),410,Other,1800,1600,1961,Wheat
Madhya Pradesh,Shajapur,Soyatkalan,390,Other,1750,1705,1800,Wheat
